Date,High,Low,Open,Close,Volume
2020-09-11 17:00:00,203.5,203.49,203.5,203.49,0
2020-09-11 17:01:00,203.5,203.5,203.5,203.5,0
2020-09-11 17:03:00,203.74,203.72,203.72,203.72,0
2020-09-11 17:05:00,203.74,203.74,203.74,203.74,0
2020-09-11 17:08:00,203.51,203.5,203.51,203.5,0
2020-09-11 17:09:00,198.07,198.07,198.07,198.07,0
2020-09-11 17:10:00,203.53,203.53,203.53,203.53,0
2020-09-11 17:12:00,203.54,203.54,203.54,203.54,0
2020-09-11 17:15:00,203.54,203.5,203.54,203.5,0
2020-09-11 17:17:00,203.55,203.55,203.55,203.55,0
2020-09-11 17:19:00,203.54,203.54,203.54,203.54,0
2020-09-11 17:21:00,203.61,203.61,203.61,203.61,0
2020-09-11 17:26:00,203.55,203.55,203.55,203.55,0
2020-09-11 17:28:00,203.51,203.51,203.51,203.51,0
2020-09-11 17:30:00,203.54,203.54,203.54,203.54,0
2020-09-11 17:32:00,203.54,203.54,203.54,203.54,0
2020-09-11 17:38:00,203.5,203.5,203.5,203.5,0
2020-09-11 17:40:00,203.6,203.6,203.6,203.6,0
2020-09-11 17:41:00,203.59,203.58,203.59,203.59,0
2020-09-11 17:42:00,203.57,203.57,203.57,203.57,0
2020-09-11 17:45:00,203.57,203.57,203.57,203.57,0
2020-09-11 17:50:00,203.56,203.56,203.56,203.56,0
2020-09-11 17:56:00,203.68,203.68,203.68,203.68,0
2020-09-11 17:59:00,203.69,203.67,203.67,203.69,0
2020-09-11 18:01:00,203.64,203.64,203.64,203.64,0
2020-09-11 18:02:00,203.64,203.64,203.64,203.64,0
2020-09-11 18:04:00,203.59,203.59,203.59,203.59,0
2020-09-11 18:05:00,203.57,203.57,203.57,203.57,0
2020-09-11 18:06:00,203.56,203.45,203.56,203.47,0
2020-09-11 18:08:00,203.4,203.4,203.4,203.4,0
2020-09-11 18:09:00,203.4,203.4,203.4,203.4,0
2020-09-11 18:10:00,203.45,203.38,203.45,203.38,0
2020-09-11 18:11:00,203.45,203.45,203.45,203.45,0
2020-09-11 18:12:00,203.41,203.38,203.41,203.38,0
2020-09-11 18:13:00,203.35,203.35,203.35,203.35,0
2020-09-11 18:14:00,203.45,203.33,203.33,203.45,0
2020-09-11 18:18:00,203.28,203.28,203.28,203.28,0
2020-09-11 18:20:00,203.29,203.29,203.29,203.29,0
2020-09-11 18:21:00,203.5,203.5,203.5,203.5,0
2020-09-11 18:27:00,203.5,203.48,203.5,203.49,0
2020-09-11 18:30:00,203.5,203.45,203.49,203.45,0
2020-09-11 18:32:00,203.49,203.49,203.49,203.49,0
2020-09-11 18:34:00,203.38,203.37,203.38,203.37,0
2020-09-11 18:39:00,203.35,203.35,203.35,203.35,0
2020-09-11 18:42:00,203.48,203.46,203.46,203.48,0
2020-09-11 18:49:00,203.48,203.48,203.48,203.48,0
2020-09-11 18:50:00,203.4,203.4,203.4,203.4,0
2020-09-11 18:53:00,203.38,203.35,203.38,203.38,0
2020-09-11 18:55:00,203.39,203.39,203.39,203.39,0
2020-09-11 18:56:00,203.45,203.42,203.42,203.45,0
2020-09-11 19:01:00,203.44,203.28,203.44,203.28,0
2020-09-11 19:08:00,203.43,203.43,203.43,203.43,0
2020-09-11 19:11:00,203.35,203.35,203.35,203.35,0
2020-09-11 19:14:00,203.4,203.4,203.4,203.4,0
2020-09-11 19:16:00,203.4,203.4,203.4,203.4,0
2020-09-11 19:18:00,203.4,203.4,203.4,203.4,0
2020-09-11 19:21:00,203.4,203.4,203.4,203.4,0
2020-09-11 19:22:00,203.45,203.45,203.45,203.45,0
2020-09-11 19:23:00,203.5,203.45,203.45,203.5,0
2020-09-11 19:25:00,203.5,203.5,203.5,203.5,0
2020-09-11 19:26:00,203.51,203.51,203.51,203.51,0
2020-09-11 19:28:00,203.5,203.5,203.5,203.5,0
2020-09-11 19:30:00,203.5,203.5,203.5,203.5,0
2020-09-11 19:35:00,203.52,203.51,203.51,203.52,0
2020-09-11 19:37:00,203.41,203.41,203.41,203.41,0
2020-09-11 19:39:00,203.41,203.4,203.41,203.4,0
2020-09-11 19:41:00,203.5,203.5,203.5,203.5,0
2020-09-11 19:43:00,203.5,203.5,203.5,203.5,0
2020-09-11 19:44:00,203.45,203.45,203.45,203.45,0
2020-09-11 19:46:00,203.5,203.45,203.45,203.5,0
2020-09-11 19:47:00,203.5,203.5,203.5,203.5,0
2020-09-11 19:48:00,203.45,203.45,203.45,203.45,0
2020-09-11 19:52:00,203.5,203.45,203.45,203.5,0
2020-09-11 19:54:00,203.52,203.5,203.51,203.5,0
2020-09-11 19:55:00,203.52,203.5,203.5,203.52,0
2020-09-11 19:56:00,203.5,203.5,203.5,203.5,0
2020-09-14 04:00:00,204.0,202.31,203.93,202.31,0
2020-09-14 04:01:00,203.33,203.0,203.33,203.0,0
2020-09-14 04:02:00,203.71,203.0,203.0,203.38,0
2020-09-14 04:03:00,203.8,203.38,203.38,203.42,0
2020-09-14 04:04:00,203.8,203.53,203.53,203.7,0
2020-09-14 04:05:00,203.5,203.41,203.5,203.41,0
2020-09-14 04:06:00,203.57,203.0,203.57,203.0,0
2020-09-14 04:07:00,203.33,203.33,203.33,203.33,0
2020-09-14 04:08:00,203.35,203.0,203.35,203.0,0
2020-09-14 04:09:00,203.3,203.01,203.01,203.3,0
2020-09-14 04:10:00,203.02,203.0,203.02,203.0,0
2020-09-14 04:11:00,203.15,203.15,203.15,203.15,0
2020-09-14 04:12:00,203.14,203.11,203.14,203.13,0
2020-09-14 04:13:00,203.15,203.15,203.15,203.15,0
2020-09-14 04:14:00,203.49,203.15,203.15,203.49,0
2020-09-14 04:15:00,203.5,203.5,203.5,203.5,0
2020-09-14 04:16:00,203.48,203.48,203.48,203.48,0
2020-09-14 04:18:00,203.23,203.23,203.23,203.23,0
2020-09-14 04:20:00,203.44,203.44,203.44,203.44,0
2020-09-14 04:21:00,203.45,203.38,203.45,203.38,0
2020-09-14 04:22:00,203.38,203.25,203.38,203.25,0
2020-09-14 04:23:00,203.25,203.15,203.25,203.15,0
2020-09-14 04:24:00,203.24,203.24,203.24,203.24,0
2020-09-14 04:26:00,203.3,203.3,203.3,203.3,0
2020-09-14 04:31:00,203.15,203.12,203.15,203.12,0
2020-09-14 04:32:00,203.22,203.2,203.22,203.2,0
2020-09-14 04:35:00,203.38,203.38,203.38,203.38,0
2020-09-14 04:38:00,203.13,203.13,203.13,203.13,0
2020-09-14 04:39:00,203.1,203.1,203.1,203.1,0
2020-09-14 04:43:00,203.15,203.15,203.15,203.15,0
2020-09-14 04:44:00,203.2,203.12,203.12,203.2,0
2020-09-14 04:45:00,203.28,203.28,203.28,203.28,0
2020-09-14 04:47:00,203.25,203.25,203.25,203.25,0
2020-09-14 04:48:00,203.3,203.28,203.28,203.3,0
2020-09-14 04:49:00,203.3,203.25,203.3,203.25,0
2020-09-14 04:50:00,203.25,203.2,203.25,203.2,0
2020-09-14 04:51:00,203.3,203.22,203.22,203.3,0
2020-09-14 04:54:00,203.22,203.22,203.22,203.22,0
2020-09-14 04:57:00,203.3,203.22,203.22,203.3,0
2020-09-14 05:03:00,203.3,203.28,203.28,203.3,0
2020-09-14 05:04:00,203.3,203.3,203.3,203.3,0
2020-09-14 05:05:00,203.3,203.25,203.3,203.25,0
2020-09-14 05:07:00,203.3,203.3,203.3,203.3,0
2020-09-14 05:08:00,203.3,203.3,203.3,203.3,0
2020-09-14 05:10:00,203.2,203.15,203.2,203.15,0
2020-09-14 05:12:00,203.25,203.25,203.25,203.25,0
2020-09-14 05:13:00,203.3,203.2,203.2,203.3,0
2020-09-14 05:18:00,203.3,203.29,203.29,203.3,0
2020-09-14 05:20:00,203.3,203.3,203.3,203.3,0
2020-09-14 05:22:00,203.2,203.2,203.2,203.2,0
2020-09-14 05:34:00,203.45,203.4,203.45,203.4,0
2020-09-14 05:37:00,203.17,203.15,203.17,203.15,0
2020-09-14 05:38:00,203.1,203.1,203.1,203.1,0
2020-09-14 05:40:00,203.1,203.1,203.1,203.1,0
2020-09-14 05:41:00,203.29,203.27,203.27,203.29,0
2020-09-14 05:42:00,203.25,203.25,203.25,203.25,0
2020-09-14 05:45:00,203.26,203.25,203.26,203.25,0
2020-09-14 05:46:00,203.25,203.25,203.25,203.25,0
2020-09-14 05:47:00,203.11,203.11,203.11,203.11,0
2020-09-14 05:49:00,203.02,203.0,203.02,203.0,0
2020-09-14 05:51:00,203.0,203.0,203.0,203.0,0
2020-09-14 06:04:00,203.2,203.2,203.2,203.2,0
2020-09-14 06:08:00,203.49,203.2,203.48,203.2,0
2020-09-14 06:09:00,203.21,203.2,203.2,203.21,0
2020-09-14 06:10:00,203.4,203.4,203.4,203.4,0
2020-09-14 06:14:00,203.54,203.54,203.54,203.54,0
2020-09-14 06:15:00,203.35,203.35,203.35,203.35,0
2020-09-14 06:16:00,203.5,203.5,203.5,203.5,0
2020-09-14 06:19:00,203.5,203.49,203.5,203.49,0
2020-09-14 06:20:00,203.42,203.42,203.42,203.42,0
